,task_id,pipeline_id,y
294,77,15,0.999939393939394
295,37,79,0.9999374494784248
296,37,40,0.9999374494784248
297,562,41,0.9999371007875923
298,20,1,0.999936
299,121,45,0.9999358190592204
300,560,5,0.999935
301,560,15,0.999934644794458
302,607,74,0.9999335079479944
303,121,74,0.9999324356417056
304,121,80,0.999932032139778
305,121,81,0.9999319290578011
306,370,1,0.999931
307,562,39,0.999931
308,503,65,0.999931
309,121,77,0.9999280538162147
310,588,81,0.9999279290908308
311,588,25,0.9999279290908308
312,607,2,0.9999227546611568
313,121,19,0.999922
314,607,3,0.9999218508636498
315,598,82,0.99992
316,1,42,0.9999199548922276
317,588,20,0.9999182479239276
318,121,15,0.9999155191525034
319,576,16,0.999913
320,588,83,0.9999074910718128
321,121,51,0.9999071148569212
322,582,43,0.999906
323,121,84,0.999905526346491
324,1,55,0.9999054369069944
325,139,85,0.9999051259514422
326,20,19,0.999905
327,121,25,0.9999049973111848
328,604,25,0.9999025194047564
329,121,20,0.9999021532758188
330,295,5,0.999901
331,1,3,0.9998968045914504
332,24,3,0.9998961151958876
333,69,86,0.9998876023316816
334,24,9,0.9998825224796224
335,1,25,0.9998813056612688
336,93,11,0.9998805897530204
337,607,1,0.99988
338,24,8,0.9998790670559669
339,562,36,0.9998753896493212
340,588,71,0.9998752205154684
341,37,81,0.9998748989568498
342,333,6,0.999871
343,37,77,0.9998700873782672
344,604,20,0.9998667951278848
345,604,36,0.9998647438766592
346,20,9,0.9998643098291204
347,24,19,0.999864
348,1,79,0.9998634437464292
349,37,25,0.999862870010393
350,370,5,0.999861
351,1,2,0.9998579591715018
352,19,65,0.999854
353,480,15,0.9998536085492606
354,1,81,0.9998531656164292
355,1,74,0.9998495230449472
356,37,51,0.9998460294853536
357,543,5,0.999845
358,588,5,0.999845
359,446,16,0.999843
360,607,17,0.9998387341186764
361,582,46,0.999838
362,85,87,0.999838
363,121,88,0.9998343525856676
364,20,15,0.999833728471842
365,1,9,0.9998312774689108
366,20,2,0.9998294559595494
367,93,2,0.999827443728004
368,24,72,0.9998263098817628
369,24,77,0.999820399296094
370,1,71,0.9998202908854912
371,582,2,0.9998200367575008
372,24,42,0.9998175742592614
373,1,77,0.999817544239636
374,604,41,0.9998167465383864
375,24,73,0.9998136850625998
376,20,42,0.9998105467283102
377,94,20,0.99981
378,560,1,0.999804
379,24,2,0.9998032109743504
380,77,87,0.9998
381,607,9,0.9997983866445016
382,4,3,0.9997956403619376
383,607,8,0.9997918812856348
384,24,74,0.9997903019941358
385,4,42,0.999789167186056
386,24,38,0.999788
387,1,20,0.9997857616233148
