,task_id,pipeline_id,y
0,21,0,0.936
1,21,1,0.938
2,21,2,0.939
3,21,3,0.935
4,19,4,0.947
5,19,5,0.932
6,19,6,0.936
7,19,7,0.945
8,19,8,0.942
9,19,9,0.934
10,19,10,0.932
11,18,11,0.816
12,18,12,0.823
13,18,13,0.816
14,18,14,0.823
15,18,15,0.819
16,18,16,0.826
17,13,17,0.52
18,13,18,0.517
19,5,19,0.872
20,5,20,0.886
21,5,21,0.863
22,5,22,0.877
23,5,23,0.867
24,5,24,0.877
25,5,25,0.882
26,15,26,0.87
27,15,27,0.87
28,15,28,0.87
29,15,29,0.855
30,15,30,0.884
31,2,31,0.75
32,2,32,0.81
33,2,33,0.82
34,2,34,0.81
35,2,35,0.82
36,2,36,0.76
37,2,37,0.8
38,16,38,0.994
39,16,39,0.994
40,11,40,0.948
41,11,41,0.939
42,11,42,0.947
43,0,43,0.994
44,0,44,0.994
45,0,45,0.994
46,0,46,0.991
47,0,47,0.991
48,9,48,0.97
49,9,49,0.972
50,25,50,0.717
51,25,51,0.706
52,25,52,0.718
53,25,53,0.703
54,25,54,0.401
55,25,55,0.715
56,1,56,0.965
57,1,57,0.98
58,1,58,0.975
59,1,59,0.97
60,1,60,0.97
61,1,61,0.97
62,1,62,0.975
63,14,63,1.0
64,14,64,1.0
65,14,65,1.0
66,14,66,1.0
67,14,67,1.0
68,14,68,1.0
69,14,69,1.0
70,3,70,0.974
71,3,71,0.97
72,3,72,0.974
73,3,73,0.983
74,3,74,0.979
75,3,75,0.983
76,4,76,0.97
77,4,77,0.973
78,4,78,0.973
79,7,79,0.775
80,7,80,0.843
81,20,81,0.667
82,20,82,0.668
83,6,83,0.673
84,6,84,0.671
85,8,85,0.945
86,8,86,0.963
87,8,87,0.972
88,8,88,0.944
89,8,89,0.937
90,8,90,0.954
91,24,91,0.682
92,24,92,0.724
93,24,93,0.664
94,24,94,0.678
95,24,95,0.442
96,23,96,0.962
97,23,97,0.937
98,23,98,0.973
99,23,99,0.971
100,17,100,0.74
101,17,101,0.76
102,22,102,0.998
103,22,103,0.981
104,22,104,0.941
105,22,105,0.95
106,26,106,0.331
107,26,107,0.35
108,26,108,0.311
