,dataset_id,dataset_name,run_label,run_date,model_path,history_path,f1,roc_auc,accuracy,logloss,precision,inference_sec,fit_time_sec,task_type,model_str,automl_time_sec,automl_timeout_min,meta_learning_time_sec
77,1468,cnae-9,FEDOT,2022-11-02 18:19:43,datasets\cnae-9\models\FEDOT\e997c332-a4cd-40fa-9c31-8b264d8db039.json,datasets\cnae-9\histories\FEDOT\e997c332-a4cd-40fa-9c31-8b264d8db039.json,-0.954,-0.996,-0.954,0.211,-0.955,0.3415494635701179,14454.31995666772,classification,"((((/n_normalization;)/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'gini', 'max_features': 0.05074254411246884, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 100};;/n_normalization;)/n_scaling;;(/n_normalization;)/n_scaling;;/n_normalization;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.5721015140412535, 'min_samples_leaf': 11, 'min_samples_split': 8, 'n_estimators': 100}",14400,240,0
78,1591,connect-4,FEDOT,2022-11-02 18:19:45,datasets\connect-4\models\FEDOT\f9c76781-fd2f-473c-b25b-62eedfe1a44b.json,datasets\connect-4\histories\FEDOT\f9c76781-fd2f-473c-b25b-62eedfe1a44b.json,-0.796,-0.923,-0.82,0.48,-0.713,0.9425412975251676,14553.657741002738,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'entropy', 'max_features': 0.392691022168728, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 100}",14400,240,0
79,150,covertype,FEDOT,2022-11-02 18:19:46,datasets\covertype\models\FEDOT\ab0015ab-3ca3-431f-8cf4-a32b9641df92.json,datasets\covertype\histories\FEDOT\ab0015ab-3ca3-431f-8cf4-a32b9641df92.json,-0.973,-0.998,-0.973,0.093,-0.96,2.547531772404909,21433.636872023344,classification,"((/n_normalization;;/n_pca_{'svd_solver': 'full', 'n_components': 0.8259085902977076};)/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'entropy', 'max_features': 0.759215271232332, 'min_samples_leaf': 7, 'min_samples_split': 9, 'n_estimators': 100}",14400,240,0
80,31,credit-g,FEDOT,2022-11-02 18:19:41,datasets\credit-g\models\FEDOT\78187da6-ea10-49d1-b670-06572c0b2f8a.json,datasets\credit-g\histories\FEDOT\78187da6-ea10-49d1-b670-06572c0b2f8a.json,-0.81,-0.856,-0.81,0.446,-0.792,0.0629848400130868,14404.89156346023,classification,"(((/n_pca_{'svd_solver': 'full', 'n_components': 0.1102154211613791};)/n_scaling;;/n_pca_{'svd_solver': 'full', 'n_components': 0.1102154211613791};)/n_normalization;;(/n_normalization;)/n_pca_{'svd_solver': 'full', 'n_components': 0.5721893253027919};;(/n_normalization;)/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'gini', 'max_features': 0.1431786842716512, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",14400,240,0
81,41163,dilbert,FEDOT,2022-11-02 18:19:46,datasets\dilbert\models\FEDOT\79e62ff8-6f89-46d9-91f8-9e3b56d22f57.json,datasets\dilbert\histories\FEDOT\79e62ff8-6f89-46d9-91f8-9e3b56d22f57.json,-0.971,-0.998,-0.971,0.338,-0.971,1.013915732502937,14795.201755736023,classification,(/n_scaling;)/n_rf_{'n_jobs': 1},14400,240,0
82,41164,fabert,FEDOT,2022-11-02 18:19:46,datasets\fabert\models\FEDOT\b9dc3c14-c773-43e3-a985-da3198c7e0db.json,datasets\fabert\histories\FEDOT\b9dc3c14-c773-43e3-a985-da3198c7e0db.json,-0.664,-0.93,-0.683,0.846,-0.663,1.3306299671530724,14764.371744524688,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.15064354199823987, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",14400,240,0
83,4532,higgs,FEDOT,2022-11-02 18:19:45,datasets\higgs\models\FEDOT\445a7c9a-cb4a-4a46-9feb-2bdda94993e4.json,datasets\higgs\histories\FEDOT\445a7c9a-cb4a-4a46-9feb-2bdda94993e4.json,-0.729,-0.805,-0.729,0.539,-0.728,0.7241257764399052,15722.376903951168,classification,"(/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'entropy', 'max_features': 0.23915226864002492, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 100}",14400,240,0
84,41168,jannis,FEDOT,2022-11-02 18:53:55,datasets\jannis\models\FEDOT\4c23b3b0-28dd-4347-987c-53f9c199ed31.json,datasets\jannis\histories\FEDOT\4c23b3b0-28dd-4347-987c-53f9c199ed31.json,-0.715,-0.877,-0.72,0.681,-0.681,0.354551300406456,15695.092921663076,classification,"((((/n_isolation_forest_class_{'bootstrap': False, 'max_features': 0.20479643009818949, 'max_samples': 0.3297589700211671};)/n_scaling;)/n_normalization;;(/n_isolation_forest_class_{'bootstrap': False, 'max_features': 0.20479643009818949, 'max_samples': 0.3297589700211671};)/n_fast_ica_{'whiten': 'arbitrary-variance', 'n_components': 2};;(/n_isolation_forest_class_{'bootstrap': False, 'max_features': 0.20479643009818949, 'max_samples': 0.3297589700211671};)/n_scaling;)/n_scaling;;/n_isolation_forest_class_{'bootstrap': False, 'max_features': 0.20479643009818949, 'max_samples': 0.3297589700211671};)/n_lgbm_{'num_leaves': 104, 'colsample_bytree': 0.9473474911599126, 'subsample': 0.9134916539558959, 'subsample_freq': 10, 'learning_rate': 0.04959553651448856, 'n_estimators': 100, 'reg_alpha': 0.9889298445539944, 'reg_lambda': 9.78783173492775}",14400,240,0
85,41143,jasmine,FEDOT,2022-11-02 18:19:39,datasets\jasmine\models\FEDOT\bde51b56-1e6e-4953-8235-5655ce9aa840.json,datasets\jasmine\histories\FEDOT\bde51b56-1e6e-4953-8235-5655ce9aa840.json,-0.826,-0.881,-0.826,0.423,-0.836,0.112826838158071,14432.209788789973,classification,"((((/n_scaling;)/n_normalization;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'gini', 'max_features': 0.10225127281213386, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 100};;(/n_normalization;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'gini', 'max_features': 0.4826100755375357, 'min_samples_leaf': 11, 'min_samples_split': 5, 'n_estimators': 100};;/n_scaling;)/n_pca_{'svd_solver': 'full', 'n_components': 0.6023044459780444};;((/n_scaling;)/n_normalization;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'gini', 'max_features': 0.10225127281213386, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 100};;/n_normalization;;/n_scaling;)/n_logit_{'C': 0.18018729680402146}",14400,240,0
86,41027,jungle_chess_2pcs_raw_endgame_complete,FEDOT,2022-11-02 18:19:41,datasets\jungle_chess_2pcs_raw_endgame_complete\models\FEDOT\9b47b61c-bcf3-4a83-940c-b16a00b37cdf.json,datasets\jungle_chess_2pcs_raw_endgame_complete\histories\FEDOT\9b47b61c-bcf3-4a83-940c-b16a00b37cdf.json,-0.909,-0.987,-0.909,0.196,-0.877,0.1814512182027101,14587.72042888822,classification,"((/n_normalization;)/n_logit_{'C': 0.21233950853001105};;/n_normalization;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'gini', 'max_features': 0.6120429017696769, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",14400,240,0
87,1067,kc1,FEDOT,2022-11-02 18:19:40,datasets\kc1\models\FEDOT\c77e694d-383b-4bed-94ae-09f774fc5bdd.json,datasets\kc1\histories\FEDOT\c77e694d-383b-4bed-94ae-09f774fc5bdd.json,-0.882,-0.841,-0.882,0.321,-0.852,0.0609833495691418,14407.987769753672,classification,"(((((/n_scaling;)/n_normalization;)/n_scaling;;(/n_scaling;)/n_pca_{'svd_solver': 'full', 'n_components': 0.27263483539139766};)/n_scaling;)/n_logit_{'C': 7.353699704408498};;/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'gini', 'max_features': 0.05051094631150683, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",14400,240,0
88,3,kr-vs-kp,FEDOT,2022-11-02 18:19:44,datasets\kr-vs-kp\models\FEDOT\f12e3861-ac55-4420-ae9a-c0ab72f9355a.json,datasets\kr-vs-kp\histories\FEDOT\f12e3861-ac55-4420-ae9a-c0ab72f9355a.json,-0.994,-1.0,-0.994,0.017,-0.994,0.0577733516693115,14408.921648934484,classification,"((/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'gini', 'max_features': 0.5682063850015864, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 100};;/n_scaling;)/n_logit_{'C': 8.74591679909873}",14400,240,0
89,12,mfeat-factors,FEDOT,2022-11-02 18:19:44,datasets\mfeat-factors\models\FEDOT\9d70128c-f02e-4fbe-a736-c2051085b9fe.json,datasets\mfeat-factors\histories\FEDOT\9d70128c-f02e-4fbe-a736-c2051085b9fe.json,-0.975,-1.0,-0.975,0.091,-0.977,0.2157825827598571,14442.456591710448,classification,"(((((/n_scaling;)/n_normalization;)/n_pca_{'svd_solver': 'full', 'n_components': 0.9401379386874316};;/n_scaling;)/n_knn_{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'};;((/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.2735627161739833, 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 100};)/n_knn_{'n_neighbors': 45, 'p': 1, 'weights': 'distance'};;(/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.2735627161739833, 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 100};)/n_scaling;;((/n_scaling;)/n_rf_{'n_jobs': 1, 'bootstrap': True, 'criterion': 'entropy', 'max_features': 0.2735627161739833, 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 100};)/n_knn_{'n_neighbors': 45, 'p': 1, 'weights': 'distance'};;/n_scaling;)/n_logit_{'C': 1.5124728702692987}",14400,240,0
90,41150,miniboone,FEDOT,2022-11-02 18:52:47,datasets\miniboone\models\FEDOT\f15a9721-afe9-4b6b-bdc1-bc8a5a24e4de.json,datasets\miniboone\histories\FEDOT\f15a9721-afe9-4b6b-bdc1-bc8a5a24e4de.json,-0.939,-0.984,-0.939,0.154,-0.917,0.3482108265161514,14873.47021266818,classification,"(/n_normalization;;/n_pca_{'svd_solver': 'full', 'n_components': 0.762412253263054};)/n_lgbm_{'num_leaves': 131, 'colsample_bytree': 0.6597151315950686, 'subsample': 0.9310646239780692, 'subsample_freq': 10, 'learning_rate': 0.12691597221248951, 'n_estimators': 100, 'class_weight': 'balanced', 'reg_alpha': 0.2838626238336554, 'reg_lambda': 0.16524699801031467}",14400,240,0
91,1486,nomao,FEDOT,2022-11-02 18:19:39,datasets\nomao\models\FEDOT\e6555aa2-5137-4cc3-9d82-428675b51750.json,datasets\nomao\histories\FEDOT\e6555aa2-5137-4cc3-9d82-428675b51750.json,-0.97,-0.995,-0.97,0.088,-0.964,0.9321794449351728,14559.236244407948,classification,"/n_rf_{'n_jobs': 1, 'bootstrap': False, 'criterion': 'entropy', 'max_features': 0.057371417754740445, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 100}",14400,240,0
