task_id,pipeline_id,y
M4_D1124,5,-240.15456244728446
M4_D1124,41,-353.7115904617512
M4_D1124,8,-251.49137138382648
M4_D1124,42,-389.51206805960015
M4_D1124,38,-307.6756191935008
M4_D1124,43,-356.63882101370126
M4_D1124,11,-233.41116660879945
M4_D1124,14,-233.32154169285835
M4_D1124,18,-251.49137461037913
M4_D1124,22,-251.8363448236017
M4_D1124,37,-1651.6201993402472
M4_D1162,31,-54.38248053181169
M4_D1162,24,-54.382477123157024
M4_D1162,4,-44.8995595811773
M4_D1162,44,-52.92367630309144
M4_D1162,45,-39.21137860659595
M4_D1162,8,-38.92181393287628
M4_D1162,26,-41.41074710134154
M4_D1162,14,-41.410755366438366
M4_D1162,46,-35.74983541327813
M4_D1170,28,-25.02053873036804
M4_D1170,23,-23.597934111975604
M4_D1170,47,-21.035761438508775
M4_D1170,31,-22.92279154780068
M4_D1170,4,-22.776119924862744
M4_D1170,8,-22.77624478356758
M4_D1170,48,-22.77626482024147
M4_D1170,38,-22.119538407303533
M4_D1170,14,-25.552231822033786
M4_D1170,15,-26.060274266194188
M4_D1170,18,-22.77627618297687
M4_D1170,22,-22.73307421154759
M4_D1204,49,-250.5019238271344
M4_D1204,50,-213.2623381995761
M4_D1204,51,-210.4463099279482
M4_D1204,4,-177.33139273287395
M4_D1204,5,-197.23669440774435
M4_D1204,52,-335.29310059819267
M4_D1204,8,-216.22838276479408
M4_D1204,53,-215.92788952529986
M4_D1204,13,-181.06912947305955
M4_D1204,14,-180.94585237431752
M4_D1204,15,-175.36698181153648
M4_D1204,19,-209.42091752604946
M4_D1204,22,-209.42091869262413
M4_D1219,31,-227.62351058228668
M4_D1219,3,-227.6235081658784
M4_D1219,24,-227.62350982037228
M4_D1219,4,-226.92036351455263
M4_D1219,5,-223.97768370196286
M4_D1219,44,-1171.8725100871313
M4_D1219,8,-201.20022816171104
M4_D1219,54,-476.18816185008563
M4_D1219,11,-204.58380332811217
M4_D1219,14,-204.58373959204346
M4_D1219,15,-200.84985479420445
M4_D1219,18,-201.2450339471169
M4_D1232,33,-287.6735980216436
M4_D1232,55,-193.07690738544525
M4_D1232,4,-192.5881574771649
M4_D1232,52,-419.6159172123564
M4_D1232,8,-207.44658334885347
M4_D1232,9,-207.446580917155
M4_D1232,56,-242.81734985633594
M4_D1232,11,-205.5532666476782
M4_D1232,13,-205.5532657418929
M4_D1232,14,-202.2954693334115
M4_D1232,15,-205.1240670741196
M4_D1232,21,-209.82612215497338
M4_D1232,32,-420.2660733450945
M4_D1232,22,-207.66269883385644
M4_D1232,37,-317.20852428549
M4_D1263,57,-401.17338813817514
M4_D1263,0,-337.2919009263263
M4_D1263,4,-412.8395222165462
M4_D1263,5,-414.5583568500417
M4_D1263,52,-614.9828115850354
M4_D1263,41,-477.7622534062322
M4_D1263,8,-344.3625049062862
M4_D1263,56,-459.73772329233014
M4_D1263,11,-337.16648039324883
M4_D1263,26,-337.1664791445699
M4_D1263,14,-337.166475545061
M4_D1263,18,-347.6359490516929
M4_D1263,22,-350.9263660249455
M4_D1263,37,-410.0752587106942
M4_D1270,58,-27.584211617150146
M4_D1270,31,-30.948313638241547
M4_D1270,59,-29.37077296546197
M4_D1270,24,-30.948308243875754
M4_D1270,4,-29.382624710632143
M4_D1270,5,-30.338974105778792
M4_D1270,60,-30.33897914312206
M4_D1270,8,-27.925009469187902
M4_D1270,61,-27.988118046986017
M4_D1270,62,-44.76258074215904
M4_D1270,63,-27.261164162335508
M4_D1270,64,-26.591214760395463
M4_D1270,26,-27.262178524076116
M4_D1270,14,-27.26216148796841
M4_D1270,17,-27.978829001230157
M4_D1270,18,-27.978836894990366
M4_D1270,19,-27.48417093810637
M4_D1270,22,-27.4841721831186
M4_D1279,65,-678.9536069563552
M4_D1279,29,-468.8210495626416
M4_D1279,31,-471.3724750638551
M4_D1279,24,-471.3724742464465
M4_D1279,4,-471.37225688510495
M4_D1279,6,-490.7095620256532
M4_D1279,41,-766.5076330466077
M4_D1279,8,-464.8614109760086
M4_D1279,25,-464.86142777523105
M4_D1279,9,-464.86140700329844
M4_D1279,26,-478.666830655319
M4_D1279,14,-478.66293547583035
M4_D1279,15,-488.39814700843664
M4_D1279,17,-464.8614102436316
M4_D1279,18,-464.8614083738972
M4_D1279,32,-464.91601855481923
M4_D1279,22,-475.87761287672106
M4_D1317,66,-60.38667440742919
M4_D1317,67,-46.00376412095384
M4_D1317,68,-46.51666023942213
M4_D1317,31,-42.31877624835793
M4_D1317,24,-42.31877653722863
M4_D1317,4,-38.38993007986718
M4_D1317,5,-42.22691805152985
M4_D1317,6,-37.67247353090095
M4_D1317,41,-60.386677410457956
M4_D1317,8,-38.38958686525758
M4_D1317,69,-39.19292903927475
M4_D1317,11,-38.100521450946225
M4_D1317,14,-38.10052666846313
M4_D1317,70,-37.06983365591069
M4_D1317,18,-38.3895903478328
M4_D1317,71,-38.17738102355171
M4_D1317,20,-38.38958686525859
M4_D1317,21,-38.07785536339831
M4_D1317,22,-38.17738005955768
M4_D1322,33,-45.453332750897744
M4_D1322,40,-47.91313742511662
M4_D1322,24,-48.218538791631396
M4_D1322,4,-48.21860174130607
M4_D1322,5,-48.06724302869702
M4_D1322,41,-73.90134651501656
M4_D1322,8,-47.893554518155575
M4_D1322,72,-49.51048332552998
M4_D1322,13,-49.3372950916964
M4_D1322,14,-49.129809149291674
M4_D1322,46,-49.23625821200409
M4_D1329,55,-41.784579502469285
M4_D1329,73,-44.515988058582685
M4_D1329,31,-41.49837816595064
M4_D1329,74,-41.49870488111602
M4_D1329,1,-335.7721316602428
M4_D1329,24,-41.49838028319355
M4_D1329,4,-40.63762854506661
M4_D1329,8,-41.45741682689905
M4_D1329,61,-41.65546601667186
M4_D1329,75,-3906955116285217.5
M4_D1329,9,-41.45742752342424
M4_D1329,76,-39.87780193571334
M4_D1329,77,-42.32678896527462
M4_D1329,26,-42.32632751435902
M4_D1329,13,-42.326953580997206
M4_D1329,14,-42.32678895395504
M4_D1329,78,-50.146690233715354
M4_D1329,22,-41.35951480940568
M4_D133,28,-1698.454349643982
M4_D133,49,-1698.448017090325
M4_D133,66,-2948.543125894071
M4_D133,79,-1302.4645742137384
M4_D133,80,-1275.333207830959
M4_D133,81,-1275.3332078309393
M4_D133,31,-1057.8955983934486
M4_D133,74,-1298.5550799630662
M4_D133,82,-1302.6499507363994
M4_D133,3,-1316.2976885648825
M4_D133,83,-1313.2374301015614
M4_D133,59,-1316.2977064293946
M4_D133,24,-1044.7916045231602
M4_D133,4,-1057.8942480665844
M4_D133,84,-1057.8962298780018
M4_D133,85,-1316.2973500562728
M4_D133,86,-1302.650676939804
M4_D133,5,-1302.6491805728667
M4_D133,87,-1302.6506852744524
M4_D133,88,-1130.7778108032182
M4_D133,60,-1302.6507169585839
M4_D133,7,-1640.0786235689473
M4_D133,89,-1316.297719650371
M4_D133,8,-1688.8393403736563
M4_D133,25,-1701.8325219876722
M4_D133,69,-4033.218116607706
M4_D133,26,-3025.859033775827
M4_D133,14,-3025.8590632302426
M4_D133,90,-1057.8955818309594
M4_D133,91,-1057.8962298780018
M4_D133,92,-1302.650666386414
M4_D133,93,-1316.2976841143966
M4_D133,94,-1316.2977058019578
M4_D133,17,-1701.832528516991
M4_D133,18,-1701.8325219812061
M4_D133,95,-1175.77927644114
M4_D133,96,-1316.2973517060407
M4_D133,19,-1687.9140190062196
M4_D133,97,-1302.6506921545854
M4_D1368,98,-336.7620007597459
M4_D1368,40,-344.7388817992052
M4_D1368,1,-665.3162238275626
M4_D1368,3,-338.9614980769306
M4_D1368,24,-338.9614952926734
M4_D1368,4,-338.9615120174696
M4_D1368,44,-777.7857382330407
M4_D1368,8,-344.3989604063616
M4_D1368,11,-346.76076118739394
M4_D1368,14,-338.9615120174717
M4_D1368,15,-351.3934436312309
M4_D1368,18,-344.3989619524132
M4_D1368,22,-351.53510953551813
M4_D1368,99,-348.39262362218415
M4_D137,23,-1859.2561500559407
M4_D137,100,-982.7704001757555
M4_D137,101,-982.7847941890083
M4_D137,55,-867.355078005769
M4_D137,102,-983.1720423235637
M4_D137,1,-964.1591859933833
M4_D137,24,-982.7693151631361
M4_D137,4,-840.1439824102864
M4_D137,5,-950.4022840893514
M4_D137,8,-1403.3341354936276
M4_D137,42,-1373.7052230135444
M4_D137,75,-2.0516937682987012e+16
M4_D137,103,-1158.210166767958
M4_D137,104,-1150.8630734700585
M4_D137,11,-1210.7583969062325
M4_D137,63,-1099.6971279291793
M4_D137,64,-1141.2104691204638
M4_D137,77,-1210.7513789072827
M4_D137,12,-1202.0969470347568
M4_D137,26,-1170.4121548280145
M4_D137,13,-1349.0823600920126
M4_D137,14,-1099.6971281017668
M4_D137,15,-1045.7080256651209
M4_D137,105,-1141.212515673914
M4_D137,106,-1045.717043421858
M4_D137,107,-1370.1754252299504
M4_D137,18,-1425.0510163116498
M4_D137,22,-1360.0645613903255
M4_D137,46,-1105.229182608082
M4_D137,99,-1116.860509868464
M4_D1378,24,-435.33248972625165
M4_D1378,4,-381.4259110143411
M4_D1378,5,-427.5319742497276
M4_D1378,8,-320.1074800635081
M4_D1378,53,-340.0413827008438
M4_D1378,39,-276.2859278720478
M4_D1378,69,-414.0581751782338
M4_D1378,14,-351.307144618029
M4_D1378,22,-317.3247654703445
M4_D1378,46,-345.2485498340739
M4_D1380,0,-310.9024984970822
M4_D1380,40,-320.92892326815166
M4_D1380,30,-555.1877328455038
M4_D1380,24,-444.06845782574237
M4_D1380,4,-444.068424458965
M4_D1380,8,-321.2839843725539
M4_D1380,108,-321.4330707949338
M4_D1380,9,-321.4330712924091
M4_D1380,11,-343.4583440044618
M4_D1380,14,-286.5963210057384
M4_D1384,109,-719.5707393141021
M4_D1384,31,-453.41131190862035
M4_D1384,24,-453.4113099315003
M4_D1384,4,-453.4112822937173
M4_D1384,8,-385.07308372673623
M4_D1384,14,-369.97010857177474
M4_D1384,15,-381.5761303519321
M4_D1384,18,-385.0730814333392
M4_D1384,21,-398.2533842500928
M4_D1384,22,-389.92419991836226
M4_D1384,46,-372.72725720466855
M4_D1411,66,-33.538338770422286
M4_D1411,24,-23.13468175964407
M4_D1411,4,-23.117943528980806
M4_D1411,5,-23.1697791103814
M4_D1411,8,-16.99309333587368
M4_D1411,9,-17.51079057082597
M4_D1411,53,-20.13841293232665
M4_D1411,14,-17.37312721655563
M4_D1411,22,-17.497929600551675
M4_D1411,37,-70.20803935156944
M4_D1424,31,-17.166009530631893
M4_D1424,1,-439.62703843503704
M4_D1424,3,-17.165974820416807
M4_D1424,4,-17.165097303691862
M4_D1424,8,-13.092022396731634
M4_D1424,11,-12.742139317850445
M4_D1424,13,-12.742248299175904
M4_D1424,14,-12.742364492620078
M4_D1424,110,-13.001756084993874
M4_D1424,15,-12.78348689682702
M4_D1424,111,-12.614772102835857
M4_D1424,18,-13.092026829153133
M4_D1424,22,-13.212352344737369
M4_D1433,28,-222.2816575124075
M4_D1433,112,-341.4903725979794
M4_D1433,31,-213.2108666916738
M4_D1433,1,-1173.7399261758385
M4_D1433,4,-213.21086795799434
M4_D1433,5,-212.90146322382216
M4_D1433,52,-353.8184619479139
M4_D1433,8,-213.1040594587973
M4_D1433,75,-3.2346916797596435e+17
M4_D1433,11,-233.876560351212
M4_D1433,13,-233.87654713600014
M4_D1433,14,-233.5353110625172
M4_D1433,18,-213.47219577186925
M4_D1433,32,-339.1100532216626
M4_D1433,22,-213.6246732642256
M4_D1434,113,-201.96585751375366
M4_D1434,4,-148.8913206309965
M4_D1434,52,-256.92479500021085
M4_D1434,8,-151.38544058122162
M4_D1434,11,-152.998439017861
M4_D1434,14,-152.99843809140762
M4_D1434,21,-153.94298965266105
M4_D1438,23,-247.6462187391186
M4_D1438,31,-195.55544947733338
M4_D1438,3,-195.55544868105767
M4_D1438,4,-195.55544876753734
M4_D1438,5,-195.09898185832617
M4_D1438,60,-195.09898005474057
M4_D1438,45,-192.99354154191806
M4_D1438,7,-191.6122826039225
M4_D1438,8,-191.30971605014784
M4_D1438,48,-191.82368639111846
M4_D1438,76,-220.168653392123
M4_D1438,14,-195.5554488607443
M4_D1438,15,-216.10106037985574
M4_D1438,18,-191.82368558628295
M4_D1438,22,-191.4231229183424
M4_D1438,37,-670.8004410635677
M4_D1448,4,-183.47354867753498
M4_D1448,5,-183.9724077255713
M4_D1448,52,-379.3225039914157
M4_D1448,44,-251.9398521283513
M4_D1448,8,-193.3052112803433
M4_D1448,114,-190.11611349231927
M4_D1448,75,-3.9548054657130477e+17
M4_D1448,9,-193.78311314414395
M4_D1448,13,-194.63115396899943
M4_D1448,14,-194.57792221497834
M4_D1448,15,-194.46858661161127
M4_D145,47,-181.3754616098237
M4_D145,31,-151.4995144724367
M4_D145,3,-151.49949652445454
M4_D145,24,-151.49951363935784
M4_D145,4,-151.4992294776371
M4_D145,5,-151.77461059321558
M4_D145,8,-156.80111643440497
M4_D145,115,-153.83303109013895
M4_D145,9,-157.75641003268927
M4_D145,38,-213.9953575484095
M4_D145,14,-151.51758719302447
M4_D145,111,-157.0105077210101
M4_D145,27,-3.7753461667239917e+17
M4_D145,116,-153.98588859453972
M4_D145,18,-156.8011438831558
M4_D145,22,-158.08298178934731
M4_D1450,31,-130.69752937686818
M4_D1450,3,-130.6975291384176
M4_D1450,4,-130.5342080904842
M4_D1450,5,-130.048724682366
M4_D1450,52,-160.21256451576983
M4_D1450,45,-121.98511192086391
M4_D1450,8,-121.23199025810108
M4_D1450,9,-121.98511100294837
M4_D1450,72,-121.11595629123148
M4_D1450,13,-121.9416180103233
M4_D1450,14,-121.38643056819124
M4_D1450,18,-121.98511132396224
M4_D1450,22,-120.99159202765554
M4_D1450,46,-121.363169096043
M4_D1459,117,-230.1771638702618
M4_D1459,24,-177.33331473263124
M4_D1459,4,-176.562604337536
M4_D1459,7,-142.8962504103612
M4_D1459,8,-145.89541149719085
M4_D1459,104,-180.87377973058503
M4_D1459,39,-169.88572226304308
M4_D1459,11,-145.68544865161414
M4_D1459,14,-145.6854457852836
M4_D1459,18,-145.8954105448337
M4_D1459,22,-144.94681551481156
M4_D1459,118,-124.84212206463218
M4_D1464,23,-259.17864418138544
M4_D1464,31,-173.91292319490063
M4_D1464,3,-173.91292170908028
M4_D1464,24,-173.91292365423445
M4_D1464,4,-173.91290496925922
M4_D1464,5,-168.18145882680327
M4_D1464,41,-357.9085194893847
M4_D1464,8,-182.79485833117747
M4_D1464,9,-184.88509850391407
M4_D1464,69,-357.9085190166111
M4_D1464,11,-181.53478697249633
M4_D1464,77,-181.53478223196475
M4_D1464,13,-181.53462460542787
M4_D1464,14,-181.5347822317282
M4_D1464,15,-122.17434924513718
M4_D1464,27,-8.461587064737004e+17
M4_D1464,18,-191.37696335188207
M4_D1464,46,-199.6902871227916
M4_D1475,0,-229.8338373179685
M4_D1475,4,-209.19863229992413
M4_D1475,5,-207.2365749132051
M4_D1475,119,-8.460164695026802e+17
M4_D1475,8,-224.7764120329366
M4_D1475,114,-217.1682388985635
M4_D1475,53,-253.35319134867942
M4_D1475,63,-225.55834902366075
M4_D1475,26,-225.55876697731802
M4_D1475,13,-225.5584952774099
M4_D1475,14,-225.55861345985318
M4_D1475,15,-221.37926790112238
M4_D1475,18,-226.84556528448033
M4_D1475,22,-223.30272223108216
M4_D1519,31,-552.9492329311234
M4_D1519,4,-545.7573862697714
M4_D1519,41,-749.1340075937569
M4_D1519,8,-550.1711984686026
M4_D1519,114,-689.9212319595563
M4_D1519,75,-3.782599018158384e+17
M4_D1519,11,-472.6718869287793
M4_D1519,14,-445.7938445947813
M4_D1519,15,-463.99252114116706
M4_D1519,106,-463.99252185989235
M4_D1519,18,-550.1711940355465
M4_D1519,22,-540.0965728313486
M4_D1519,120,-524.4661556961252
M4_D1519,37,-524.466153105816
M4_D1519,46,-537.1473263725342
M4_D152,0,-353.48516835626225
M4_D152,31,-254.0341290885001
M4_D152,24,-254.0341287125639
M4_D152,4,-254.03403984337976
M4_D152,5,-254.46998065606297
M4_D152,8,-253.96096176583782
M4_D152,76,-254.03375128337623
M4_D152,13,-256.2571105560765
M4_D152,14,-256.00617056878883
M4_D152,18,-253.9609544989954
M4_D1540,66,-510.4418751409303
M4_D1540,109,-591.0398111396324
M4_D1540,74,-375.3815171676374
M4_D1540,24,-375.38152938649324
M4_D1540,4,-331.8894701109531
M4_D1540,8,-323.38362603188193
M4_D1540,9,-323.38362620061224
M4_D1540,76,-375.2688697833205
M4_D1540,26,-292.17365306476694
M4_D1540,14,-267.2165972592422
M4_D1540,15,-293.16728307440263
M4_D1540,18,-323.3836238236651
M4_D1540,22,-326.0577718784241
M4_D1540,37,-687.3631538677829
M4_D1551,40,-51.488931528732316
M4_D1551,59,-54.197805150284914
M4_D1551,4,-51.85826353146091
M4_D1551,6,-53.60793915279364
M4_D1551,8,-50.976373220831626
M4_D1551,9,-51.41784379205702
M4_D1551,11,-46.50879710239095
M4_D1551,63,-46.508346438895906
M4_D1551,14,-46.508645391600965
M4_D1551,15,-44.96824762117856
M4_D1551,18,-51.417834748115105
M4_D1551,22,-50.03786457921424
M4_D1551,37,-134.76970740089936
M4_D1577,23,-262.99565603542595
M4_D1577,30,-201.23991991892737
M4_D1577,31,-221.56901996344087
M4_D1577,3,-221.56901759742598
M4_D1577,4,-221.42581431806764
M4_D1577,119,-9.059971603419325e+17
M4_D1577,8,-227.8202289602316
M4_D1577,114,-254.70685639395492
M4_D1577,11,-223.33723394001723
M4_D1577,13,-223.33686120099688
M4_D1577,14,-223.33723100976803
M4_D1577,15,-222.38805873049083
M4_D1577,18,-228.0525881990138
M4_D1577,22,-227.22406976547288
M4_D1616,121,-64.64159450788652
M4_D1616,122,-64.57277330493666
M4_D1616,123,-64.73643662663274
M4_D1616,124,-64.71790264492881
M4_D1616,125,-64.64638985284914
M4_D1616,0,-64.61568567273167
M4_D1616,126,-64.6463155776569
M4_D1616,127,-64.79244642595079
M4_D1616,98,-64.74729852073783
M4_D1616,23,-105.53701426591446
M4_D1616,4,-88.92475328406732
M4_D1616,5,-147.16034626588623
M4_D1616,8,-81.18530055258798
M4_D1616,38,-116.80651743557974
M4_D1616,11,-102.3320295232581
M4_D1616,26,-102.33198062311266
M4_D1616,14,-102.33396712376172
M4_D1616,15,-103.67833646077185
M4_D1616,17,-82.33259386976995
M4_D1616,18,-81.18539275240514
M4_D1616,128,-64.57209761147816
M4_D1616,71,-81.72298093239901
M4_D1616,22,-81.7230179286463
M4_D1616,129,-66.15075330998064
M4_D1616,130,-64.66006837783635
M4_D1616,131,-67.11736711811926
M4_D1616,99,-66.15076513058627
M4_D1616,132,-66.1500265026028
M4_D1651,133,-488.7688750091317
M4_D1651,134,-238.32600412365875
M4_D1651,28,-251.05825627318833
M4_D1651,109,-415.82484051165346
M4_D1651,135,-224.8492609008595
M4_D1651,55,-224.84923817614208
M4_D1651,31,-225.29649593963973
M4_D1651,24,-225.29652820845027
M4_D1651,4,-225.29628290639403
M4_D1651,5,-222.4277996834783
M4_D1651,60,-222.42782050153687
M4_D1651,41,-269.2359072354768
M4_D1651,35,-162.31218716301115
M4_D1651,45,-160.26454530302615
M4_D1651,8,-160.2645164483335
M4_D1651,136,-164.8061228101635
M4_D1651,108,-170.1604881547519
M4_D1651,137,-170.16061520783123
M4_D1651,138,-167.9171908130245
M4_D1651,53,-197.3100435608659
M4_D1651,26,-292.30236706997454
M4_D1651,13,-292.29412681961907
M4_D1651,14,-292.3011932950954
M4_D1651,17,-162.34289902578692
M4_D1651,18,-170.16048815951248
M4_D1651,139,-170.1606047286897
M4_D1651,140,-167.91719077208205
M4_D1651,141,-167.84293428555543
M4_D1651,19,-167.91719080788542
M4_D1651,142,-162.32063394102485
M4_D1651,143,-167.8909334714039
M4_D1651,144,-167.91730396435898
M4_D1651,22,-164.54845628490642
M4_D1679,145,-65.43248630193546
M4_D1679,146,-65.35250666047507
M4_D1679,147,-65.3169556241378
M4_D1679,0,-65.24014725483973
M4_D1679,98,-65.43248493935525
M4_D1679,113,-65.01434234574917
M4_D1679,40,-70.17173153455765
M4_D1679,135,-71.15090090657337
M4_D1679,148,-76.57891174578663
M4_D1679,3,-71.20850394086246
M4_D1679,24,-71.20856500401383
M4_D1679,4,-65.89364208000113
M4_D1679,44,-61.1971863552974
M4_D1679,149,-97.51051641616719
M4_D1679,8,-64.97668285087785
M4_D1679,150,-62.304725568603466
M4_D1679,151,-70.23073506191825
M4_D1679,152,-69.12224359986611
M4_D1679,9,-64.97671212092597
M4_D1679,14,-82.2672658685432
M4_D1679,15,-82.5117073353171
M4_D1679,17,-70.23080190573805
M4_D1679,18,-70.23074407630749
M4_D1679,21,-66.38556065302599
M4_D1679,143,-69.09455690171269
M4_D1679,22,-69.12221108982861
M4_D1679,153,-65.76430786892074
M4_D1679,129,-65.26617845087127
M4_D1679,154,-65.79011205690018
M4_D1679,131,-65.78972839491583
M4_D1679,46,-62.12354060734258
M4_D1693,0,-74.25642283010762
M4_D1693,23,-76.1415965482919
M4_D1693,155,-76.79159249201149
M4_D1693,156,-62.87273295756925
M4_D1693,112,-91.32629529770611
M4_D1693,109,-94.15356814836134
M4_D1693,31,-64.09742467376095
M4_D1693,4,-60.98660465420198
M4_D1693,5,-61.31758759528322
M4_D1693,6,-65.11221315667142
M4_D1693,60,-61.31765438175864
M4_D1693,7,-51.78201205880194
M4_D1693,8,-50.84463453794421
M4_D1693,75,-2.7715186632570076e+16
M4_D1693,157,-52.302694177810885
M4_D1693,158,-54.095725895688595
M4_D1693,9,-50.84450326791346
M4_D1693,159,-52.67462452017111
M4_D1693,10,-53.67539027053004
M4_D1693,53,-54.60968907570603
M4_D1693,160,-54.095919304543315
M4_D1693,161,-51.808000051840054
M4_D1693,11,-69.77279970999982
M4_D1693,14,-69.77106441410122
M4_D1693,15,-65.95643927478186
M4_D1693,17,-54.095763265653765
M4_D1693,18,-54.092667715303755
M4_D1693,162,-54.010186118796604
M4_D1693,163,-53.675586504216795
M4_D1693,19,-53.67566376468784
M4_D1693,164,-53.67595445876199
M4_D1693,71,-53.67595603948477
M4_D1693,165,-53.64385735121303
M4_D1693,166,-55.98230095437274
M4_D1693,22,-53.675907516172515
M4_D1706,123,-76.13835764652855
M4_D1706,147,-76.13511199537282
M4_D1706,167,-76.137744341524
M4_D1706,0,-76.13780353513957
M4_D1706,168,-76.15095141601289
M4_D1706,169,-72.39201535581844
M4_D1706,170,-72.26754233602111
M4_D1706,55,-82.97020010615059
M4_D1706,3,-83.01451919813242
M4_D1706,24,-83.01450245068769
M4_D1706,4,-80.91859159878912
M4_D1706,171,-83.00779470190886
M4_D1706,5,-79.13095088438239
M4_D1706,172,-93.32721661638658
M4_D1706,8,-66.62582910981685
M4_D1706,115,-72.23060317711207
M4_D1706,48,-72.55697867642061
M4_D1706,173,-71.71773319461023
M4_D1706,43,-118.0383695081993
M4_D1706,76,-126.73646794406285
M4_D1706,11,-135.24664563944688
M4_D1706,14,-134.94292862236742
M4_D1706,17,-72.55694144234144
M4_D1706,18,-72.55615888213431
M4_D1706,19,-72.26742434930249
M4_D1706,174,-72.69008118861254
M4_D1706,20,-72.55701541888776
M4_D1706,175,-72.55701541372459
M4_D1706,21,-73.3874525047733
M4_D1706,176,-72.26754232651416
M4_D1706,22,-72.2675423293352
M4_D1706,177,-75.58899043364424
M4_D1706,37,-200.11988478347106
M4_D1712,40,-196.4651312681111
M4_D1712,178,-154.69653994105866
M4_D1712,31,-243.0005789501066
M4_D1712,3,-230.99020912545754
M4_D1712,24,-243.0006203685914
M4_D1712,4,-242.990590083887
M4_D1712,5,-240.92676315631834
M4_D1712,35,-166.97612531339658
M4_D1712,179,-175.43206938294838
M4_D1712,180,-175.43184180092476
M4_D1712,7,-175.52326928618496
M4_D1712,8,-186.0612303135329
M4_D1712,25,-184.9966950160507
M4_D1712,181,-166.82771569875612
M4_D1712,182,-175.43184180092476
M4_D1712,108,-196.3593839568357
M4_D1712,183,-185.94479399153468
M4_D1712,138,-185.94479399153525
M4_D1712,184,-196.35936075641814
M4_D1712,9,-196.35936071942663
M4_D1712,185,-157.7265779294501
M4_D1712,13,-236.56377694361936
M4_D1712,14,-236.50542839321915
M4_D1712,18,-196.35938387617315
M4_D1712,186,-185.94479378048598
M4_D1712,187,-185.9447937848197
M4_D1712,188,-186.06119510654665
M4_D1712,189,-185.93967054431278
M4_D1712,163,-185.77198599362612
M4_D1712,19,-185.94454874495295
