task_id,pipeline_id,y
M4_D1002,0,-25.18978933343676
M4_D1002,1,-41.60906105859568
M4_D1002,2,-24.665885048739057
M4_D1002,3,-25.96521989097248
M4_D1002,4,-25.805414428189792
M4_D1002,5,-26.00987278321446
M4_D1002,6,-29.075087153689065
M4_D1002,7,-26.605246948637113
M4_D1002,8,-25.66140268919524
M4_D1002,9,-25.88871937930803
M4_D1002,10,-25.925279233443334
M4_D1002,11,-27.27845150985838
M4_D1002,12,-93.10575482497465
M4_D1002,13,-27.278465359123974
M4_D1002,14,-27.278420675270343
M4_D1002,15,-27.4087932037678
M4_D1002,16,-1.3901112649955522e+16
M4_D1002,17,-25.88874738882777
M4_D1002,18,-25.888723960325233
M4_D1002,19,-25.92527453722144
M4_D1002,20,-25.8887319099963
M4_D1002,21,-25.846820347282456
M4_D1002,22,-25.925289440984912
M4_D1019,23,-47.33089752531348
M4_D1019,1,-306.7149720901804
M4_D1019,24,-44.597664544242654
M4_D1019,4,-44.37986160677709
M4_D1019,7,-42.27529320225989
M4_D1019,8,-43.58268222266008
M4_D1019,25,-43.583013622743216
M4_D1019,26,-47.20493879141057
M4_D1019,14,-43.181562093229644
M4_D1019,15,-33.90934286000388
M4_D1019,27,-2.1241515102492524e+16
M4_D1019,18,-43.58273466316098
M4_D1019,22,-43.694963047175975
M4_D1032,28,-80.84040213757515
M4_D1032,0,-91.80108415962094
M4_D1032,29,-74.8829860291495
M4_D1032,30,-65.67598798754723
M4_D1032,31,-75.02016099583228
M4_D1032,4,-75.02016734239801
M4_D1032,5,-76.45528756064722
M4_D1032,8,-75.09464712752204
M4_D1032,11,-74.87375375843845
M4_D1032,13,-74.87376776564956
M4_D1032,14,-74.87372704208211
M4_D1032,15,-76.37271289675324
M4_D1032,32,-72.95653082085448
M4_D1091,33,-26.22516589267688
M4_D1091,1,-186.66846401571055
M4_D1091,24,-29.45410174445477
M4_D1091,4,-29.284797204689553
M4_D1091,5,-29.42075149163436
M4_D1091,34,-29.454099994332477
M4_D1091,35,-29.11262380996729
M4_D1091,8,-28.875955019825543
M4_D1091,14,-30.184034355768915
M4_D1091,36,-30.148954670912946
M4_D1091,17,-29.044692787712748
M4_D1091,18,-29.044688898609206
M4_D1091,21,-28.926928392499278
M4_D1091,22,-29.005711804881503
M4_D1091,37,-151.51846421231528
M4_D1101,31,-169.89573962196582
M4_D1101,24,-169.8957397846116
M4_D1101,4,-168.12665738350253
M4_D1101,5,-169.35843007958383
M4_D1101,8,-146.27264199995133
M4_D1101,38,-141.58443619346335
M4_D1101,39,-504.5805376659444
M4_D1101,11,-351.86207996598205
M4_D1101,26,-351.8620793136793
M4_D1101,14,-351.74190894091566
M4_D1101,15,-351.7006462341685
M4_D1101,27,-2.6455701015133962e+17
M4_D1101,18,-146.27264201821856
M4_D1101,22,-146.6374859759783
M4_D1104,0,-284.19541137488187
M4_D1104,31,-305.7642874943897
M4_D1104,1,-1379.5989358511326
M4_D1104,4,-305.76429464839276
M4_D1104,8,-314.8464630717001
M4_D1104,11,-332.62863797496175
M4_D1104,26,-332.6286377482731
M4_D1104,13,-332.6286507146934
M4_D1104,14,-305.7642946483904
M4_D1104,15,-335.7193652151605
M4_D1104,18,-317.8994647333363
M4_D1104,22,-318.9219533111214
M4_D1124,40,-251.88745268496805
M4_D1124,4,-234.89850247015258
